Retailer,Retailer ID,Invoice Date,Region,State,City,Product ID,Product,Price per Unit,Sales ID,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,EN3129,Women's Apparel,103.0,ADI2021617112829962QS6903,218,2245.0,1257.0,Online
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,PK4498,Women's Apparel,103.0,ADI2021716112829945MR2818,163,1679.0,806.0,Online
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,CI8031,Men's Street Footwear,10.0,ADI2021825119783176DB3514,700,7000.0,3150.0,Outlet
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,XQ7899,Women's Street Footwear,15.0,ADI2021827119783115RX7203,575,8625.0,3881.0,Outlet
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,IP9775,Women's Street Footwear,15.0,ADI2021821119783116YG7393,475,7125.0,3206.0,Outlet
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,JQ6048,Women's Street Footwear,15.0,ADI2021111118573244VE4292,475,7125.0,2494.0,In-store
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,UJ4119,Men's Athletic Footwear,20.0,ADI20211117118573209LE0690,450,9000.0,3150.0,Online
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,PR3953,Women's Street Footwear,15.0,ADI2021123119783184WW4823,450,6750.0,2700.0,Online
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,RS6383,Men's Street Footwear,20.0,ADI202143118573271OG5075,450,9000.0,2700.0,In-store
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,TO8839,Men's Street Footwear,44.0,ADI2020310118573233SR5157,434,1910.0,993.0,Outlet
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,KE2174,Women's Street Footwear,20.0,ADI2021118118573291LA5818,425,8500.0,2975.0,In-store
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,JT2732,Women's Street Footwear,15.0,ADI2021211118573242YI7807,425,6375.0,2231.0,In-store
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,MC0418,Women's Street Footwear,20.0,ADI2021611118573265ZL5423,425,8500.0,2975.0,In-store
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,PR1270,Women's Street Footwear,20.0,ADI2021410118573264LM2054,425,8500.0,3400.0,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,RG1272,Women's Street Footwear,15.0,ADI2021316118573223MV5248,425,6375.0,2550.0,Online
