Retailer,Retailer ID,Invoice Date,Region,State,City,Product ID,Product,Price per Unit,Sales ID,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,EN3129,Women's Apparel,$103.00 ,ADI2021617112829962QS6903,218,"2,245","$1,257 ",Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,PK4498,Women's Apparel,$103.00 ,ADI2021716112829945MR2818,163,"1,679",$806 ,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,CI8031,Men's Street Footwear,$10.00 ,ADI2021825119783176DB3514,700,"7,000","$3,150 ",Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,XQ7899,Women's Street Footwear,$15.00 ,ADI2021827119783115RX7203,575,"8,625","$3,881 ",Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,IP9775,Women's Street Footwear,$15.00 ,ADI2021821119783116YG7393,475,"7,125","$3,206 ",Outlet
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,JQ6048,Women's Street Footwear,$15.00 ,ADI2021111118573244VE4292,475,"7,125","$2,494 ",In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,UJ4119,Men's Athletic Footwear,$20.00 ,ADI20211117118573209LE0690,450,"9,000","$3,150 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,PR3953,Women's Street Footwear,$15.00 ,ADI2021123119783184WW4823,450,"6,750","$2,700 ",Online
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,RS6383,Men's Street Footwear,$20.00 ,ADI202143118573271OG5075,450,"9,000","$2,700 ",In-store
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,TO8839,Men's Street Footwear,$44.00 ,ADI2020310118573233SR5157,434,"1,910",$993 ,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,KE2174,Women's Street Footwear,$20.00 ,ADI2021118118573291LA5818,425,"8,500","$2,975 ",In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,JT2732,Women's Street Footwear,$15.00 ,ADI2021211118573242YI7807,425,"6,375","$2,231 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,MC0418,Women's Street Footwear,$20.00 ,ADI2021611118573265ZL5423,425,"8,500","$2,975 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,PR1270,Women's Street Footwear,$20.00 ,ADI2021410118573264LM2054,425,"8,500","$3,400 ",Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,RG1272,Women's Street Footwear,$15.00 ,ADI2021316118573223MV5248,425,"6,375","$2,550 ",Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,OO9536,Women's Street Footwear,$20.00 ,ADI2021916118573242EI7705,425,"8,500","$3,400 ",Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,XA8622,Women's Apparel,$20.00 ,ADI2021221119783143XY8144,425,"8,500","$3,400 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,EN7612,Men's Athletic Footwear,$20.00 ,ADI20211021119783112RL7046,425,"8,500","$2,975 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,GD2293,Men's Street Footwear,$48.00 ,ADI202053118573259NS0479,420,"2,016","$1,129 ",Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,GI3144,Men's Street Footwear,$39.00 ,ADI2020419118573270OP5743,408,"1,591",$875 ,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,GV0407,Men's Street Footwear,$46.00 ,ADI2020427118573279ZX1697,403,"1,854","$1,038 ",Outlet
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,IZ5266,Women's Street Footwear,$20.00 ,ADI2021310118573200HQ2942,400,"8,000","$2,800 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,ZI2741,Women's Athletic Footwear,$20.00 ,ADI2021611118573291FH1554,400,"8,000","$3,200 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,TQ8775,Men's Athletic Footwear,$20.00 ,ADI20211011118573290YL5042,400,"8,000","$2,800 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,LZ6588,Men's Athletic Footwear,$20.00 ,ADI20211111118573278EL8706,400,"8,000","$2,800 ",In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,NR2441,Women's Athletic Footwear,$20.00 ,ADI2021916118573285RI4425,400,"8,000","$3,200 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,UA9104,Women's Street Footwear,$15.00 ,ADI2021221119783146GM0010,400,"6,000","$2,400 ",Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,CO9006,Men's Street Footwear,$47.00 ,ADI202034118573229KP8661,400,"1,880",$978 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,PV0841,Men's Street Footwear,$40.00 ,ADI2020125118573244IY6505,390,"1,560",$811 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,KN9104,Men's Street Footwear,$33.00 ,ADI202017118573243MB7986,388,"1,280",$666 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,RX1807,Men's Street Footwear,$34.00 ,ADI202011118573284EE5546,384,"1,306",$679 ,Outlet
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,CW7483,Men's Street Footwear,$31.00 ,ADI202127118573292SC3169,376,"1,166",$559 ,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,JC8586,Women's Athletic Footwear,$20.00 ,ADI2021822119783119LG7957,375,"7,500","$4,125 ",Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,JA9054,Women's Street Footwear,$20.00 ,ADI2021218118573201BG4661,375,"7,500","$2,625 ",In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,OV8801,Women's Athletic Footwear,$20.00 ,ADI2021811118573234IJ0182,375,"7,500","$3,000 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,DP1852,Women's Athletic Footwear,$20.00 ,ADI20211111118573276FL9089,375,"7,500","$3,000 ",In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,DD3902,Women's Street Footwear,$15.00 ,ADI2021417118573251NP5520,375,"5,625","$2,250 ",Online
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,DH3743,Men's Athletic Footwear,$15.00 ,ADI20211120119783197LN1998,375,"5,625","$1,969 ",Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,LT3147,Women's Street Footwear,$15.00 ,ADI2021123119783108SG3976,375,"5,625","$2,250 ",Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,FE5104,Men's Street Footwear,$41.00 ,ADI2020316118573215HF8154,375,"1,538",$800 ,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,JF6019,Women's Street Footwear,$29.00 ,ADI2020826119783133VS2696,374,"1,085",$445 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,FE9272,Women's Street Footwear,$29.00 ,ADI202091119783115DU8826,374,"1,085",$445 ,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,VK1309,Men's Street Footwear,$33.00 ,ADI2020131118573253GQ4924,372,"1,228",$663 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,EM2922,Men's Street Footwear,$44.00 ,ADI202026118573201TX6069,366,"1,610",$837 ,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,PM6400,Men's Street Footwear,$56.00 ,ADI2020419118573293BZ1125,360,"2,016","$1,250 ",Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,ED7311,Men's Athletic Footwear,$37.00 ,ADI2020317118573246IF0757,359,"1,328",$452 ,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,JV9346,Women's Apparel,$48.00 ,ADI2020418118573267SE2654,355,"1,704",$511 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,WN3218,Men's Street Footwear,$46.00 ,ADI2020125118573236RY6886,354,"1,628","$1,026 ",Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,NY3026,Women's Apparel,$47.00 ,ADI2020315118573294BV5373,352,"1,654",$447 ,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,HL4288,Women's Street Footwear,$25.00 ,ADI2021317118573276CG7107,350,"8,750","$3,063 ",In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,WC1267,Women's Athletic Footwear,$25.00 ,ADI2021618118573207XU3981,350,"8,750","$3,500 ",In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,WR7051,Men's Athletic Footwear,$25.00 ,ADI20211018118573241JI4211,350,"8,750","$3,063 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,KN8162,Men's Athletic Footwear,$25.00 ,ADI20211118118573246AI8801,350,"8,750","$3,063 ",In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,WX0050,Women's Street Footwear,$25.00 ,ADI2021512118573221LX2876,350,"8,750","$3,063 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,EN4288,Women's Street Footwear,$10.00 ,ADI2021912118573231HC0038,350,"3,500","$1,225 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,DD7120,Women's Athletic Footwear,$25.00 ,ADI2021410118573220JY5647,350,"8,750","$3,500 ",Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,OT9496,Women's Athletic Footwear,$25.00 ,ADI20211018118573286CJ1383,350,"8,750","$3,500 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,AI3473,Men's Athletic Footwear,$25.00 ,ADI2021221119783147AF2905,350,"8,750","$3,063 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,YO6171,Women's Street Footwear,$10.00 ,ADI2021319119783175GK9426,350,"3,500","$1,400 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,VO2080,Women's Apparel,$25.00 ,ADI2021319119783179NY1402,350,"8,750","$3,500 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,RD8782,Women's Street Footwear,$15.00 ,ADI2021919119783105PZ0094,350,"5,250","$2,100 ",Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,QB2526,Women's Apparel,$20.00 ,ADI2021221119783172TU5772,350,"7,000","$2,800 ",Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,RO0359,Men's Athletic Footwear,$20.00 ,ADI20211021119783162XD8235,350,"7,000","$2,450 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,NW5714,Men's Athletic Footwear,$25.00 ,ADI2021116119783156CR8154,350,"8,750","$3,063 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,TC6112,Women's Street Footwear,$15.00 ,ADI2021116119783157JV9972,350,"5,250","$1,838 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,MZ5592,Women's Apparel,$25.00 ,ADI2021116119783135XC3533,350,"8,750","$3,063 ",Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,XO4436,Women's Apparel,$25.00 ,ADI2021217118573284UZ8343,350,"8,750","$3,500 ",In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,XR4008,Women's Street Footwear,$32.00 ,ADI202013118573295DX6713,350,"1,120",$414 ,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,WN3749,Women's Apparel,$36.00 ,ADI2020124118573271BD3576,350,"1,260",$365 ,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,QV2229,Men's Athletic Footwear,$43.00 ,ADI2020420118573229AZ6738,350,"1,505",$497 ,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,TL8028,Women's Apparel,$45.00 ,ADI2020424118573257FV8952,350,"1,575",$473 ,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,DO4395,Women's Apparel,$38.00 ,ADI2020823119783131ZI7588,350,"1,330",$758 ,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,AG3888,Men's Street Footwear,$26.00 ,ADI202119118573251PG7573,349,907,$426 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,JK8046,Women's Apparel,$46.00 ,ADI202039118573209ZQ5485,347,"1,596",$511 ,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,UN4167,Women's Street Footwear,$20.00 ,ADI20211111118573269HN0307,345,"6,900","$2,415 ",In-store
West Gear,1128299,1/6/2021,West,California,San Francisco,KB7992,Men's Street Footwear,$41.00 ,ADI202116112829969RL1569,341,"1,398",$601 ,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,JM4113,Men's Athletic Footwear,$41.00 ,ADI202035118573212BP1646,340,"1,394",$474 ,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,IR1417,Women's Apparel,$48.00 ,ADI2020718118573255JA0978,340,"1,632",$490 ,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,QC4909,Men's Street Footwear,$41.00 ,ADI2021112112829977CT5858,338,"1,386",$527 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,RK7735,Men's Street Footwear,$47.00 ,ADI202011118573204NQ2457,336,"1,579",$963 ,Online
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,YF7588,Women's Apparel,$39.00 ,ADI202025118573212II0938,333,"1,299",$351 ,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,QX5914,Women's Street Footwear,$42.00 ,ADI202055118573263DK5912,333,"1,399",$559 ,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,NF8198,Men's Street Footwear,$32.00 ,ADI20201026119783177PW9058,333,"1,066",$426 ,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,ST9664,Men's Athletic Footwear,$34.00 ,ADI20201027119783175LD1314,333,"1,132",$476 ,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,YC4500,Men's Athletic Footwear,$46.00 ,ADI2021212112829950AH4698,332,"1,527",$321 ,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,RC6390,Women's Street Footwear,$35.00 ,ADI2021924119783135XL7215,332,"1,162",$546 ,Outlet
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,MW3079,Women's Apparel,$38.00 ,ADI202016118573219DN7884,330,"1,254",$401 ,Outlet
